kms_driven,owner,age,power,brand,actual_price,predicted_price
3198.0,1,5.0,500.0,2.0,102850.0,157311.93
7582.0,1,4.0,535.0,2.0,135000.0,143953.14
39000.0,1,9.0,150.0,5.0,55400.0,44234.66666666667
64000.0,1,7.0,220.0,7.0,40000.0,40210.88
10887.0,1,7.0,125.0,7.0,19000.0,24550.0
42000.0,1,7.0,150.0,4.0,50000.0,66340.0
26403.0,1,7.0,110.0,6.0,30856.0,28896.36
7000.0,1,4.0,125.0,4.0,47000.0,55142.0
12398.0,1,3.0,250.0,4.0,84000.0,92550.0
18227.0,1,6.0,150.0,4.0,47000.0,53620.0
7788.0,1,3.0,100.0,6.0,40000.0,46620.0
8000.0,1,4.0,200.0,1.0,65000.0,78399.0
12739.0,1,3.0,350.0,2.0,140000.0,121290.0
36000.0,1,9.0,350.0,2.0,78000.0,79198.88
59000.0,1,7.0,350.0,2.0,100000.0,93871.0
7902.0,1,2.0,200.0,10.0,190000.0,170033.0
54889.0,1,12.0,135.0,7.0,17500.0,15460.0
23000.0,1,5.0,150.0,4.0,65000.0,69463.66666666667
22788.0,1,8.0,100.0,6.0,22000.0,22685.0
20245.0,2,11.0,220.0,7.0,41000.0,24500.05
13000.0,1,8.0,883.0,15.0,378000.0,494957.0
61889.0,1,7.0,100.0,6.0,23000.0,28315.999999999996
10455.0,1,5.0,150.0,7.0,44000.0,55133.2
25560.0,1,12.0,180.0,1.0,22000.0,23420.33333333333
15000.0,1,5.0,100.0,7.0,33000.0,32160.0
6957.0,1,13.0,100.0,6.0,23000.0,19041.0
30578.0,1,6.0,150.0,4.0,55000.0,53784.66666666667
52000.0,1,15.0,180.0,7.0,15000.0,16907.14
15600.0,1,5.0,150.0,8.0,50000.0,60720.52
56000.0,1,5.0,220.0,7.0,56000.0,45810.0
14249.0,1,6.0,125.0,6.0,32000.0,34876.52
2126.0,1,3.0,250.0,4.0,115800.0,125469.0
15880.0,3,5.0,160.0,1.0,41000.0,53560.0
5156.0,1,2.0,150.0,8.0,92000.0,92862.97
69000.0,1,8.0,125.0,5.0,21500.0,19500.78
84625.0,1,8.0,500.0,2.0,150000.0,109492.01
3840.0,1,3.0,125.0,5.0,52000.0,57716.66666666666
22000.0,1,7.0,300.0,12.0,186000.0,140399.66666666666
1700.0,1,3.0,200.0,7.0,98000.0,124382.0
18000.0,1,4.0,150.0,8.0,63700.0,70992.0
11689.0,1,3.0,350.0,2.0,160000.0,140740.6666666667
6500.0,2,7.0,125.0,7.0,25000.0,31318.0
46000.0,1,11.0,125.0,5.0,35000.0,22785.2
18000.0,1,3.0,350.0,2.0,160000.0,145914.24
22115.0,1,3.0,100.0,7.0,27000.0,29520.0
26000.0,2,5.0,250.0,9.0,120000.0,157695.0
17000.0,1,5.0,500.0,2.0,122400.0,119523.0
39000.0,1,13.0,150.0,7.0,18000.0,19831.5
10000.0,1,4.0,200.0,1.0,92300.0,69233.5
27000.0,1,5.0,350.0,2.0,107000.0,104667.5
3443.0,1,6.0,220.0,7.0,40000.0,61102.0
7400.0,1,4.0,350.0,2.0,141900.0,127290.0
20000.0,1,11.0,125.0,6.0,25000.0,23313.2
52904.0,1,14.0,350.0,2.0,48000.0,63167.78
33500.0,2,7.0,223.0,6.0,34154.0,46279.165
10800.0,1,6.0,390.0,10.0,140000.0,142766.0
32000.0,1,7.0,220.0,7.0,54000.0,40563.4845
6041.0,1,4.0,200.0,7.0,73000.0,97888.0
54246.0,2,11.0,125.0,5.0,15000.0,20820.0
9999.0,1,3.0,160.0,1.0,63000.0,67158.37
11466.0,1,4.0,200.0,10.0,180900.0,154365.0
65000.0,1,7.0,180.0,7.0,25000.0,42455.57
20000.0,1,6.0,160.0,1.0,55000.0,43099.99
31000.0,1,5.0,150.0,8.0,78000.0,51447.33333333334
10779.0,1,2.0,350.0,2.0,135000.0,156609.0
40429.0,1,10.0,125.0,5.0,18000.0,24770.6
4000.0,1,4.0,200.0,1.0,92000.0,90870.2
190.0,1,2.0,400.0,12.0,300000.0,199439.0
21500.0,1,5.0,110.0,5.0,34600.0,29369.0
36000.0,1,8.0,250.0,5.0,100000.0,87102.0
36301.0,1,13.0,135.0,7.0,23000.0,18897.0
29825.0,2,11.0,150.0,5.0,10000.0,36944.5
13000.0,1,4.0,250.0,4.0,80000.0,97276.04
14391.0,2,4.0,150.0,4.0,65000.0,73100.0
3174.0,1,6.0,899.0,9.0,569400.0,610418.0
4455.0,1,4.0,200.0,1.0,64000.0,92167.2
65000.0,1,10.0,500.0,2.0,70000.0,91530.5
8150.0,1,5.0,150.0,7.0,52999.0,56141.33333333334
30000.0,1,5.0,150.0,7.0,33000.0,50356.211904761905
26000.0,1,6.0,200.0,7.0,83000.0,88397.0
4400.0,2,5.0,1200.0,13.0,1000000.0,1279041.75
3325.0,2,5.0,150.0,7.0,42200.0,62413.0
9500.0,1,5.0,110.0,6.0,36000.0,43996.19
59217.0,1,5.0,150.0,7.0,30000.0,45812.05
23444.0,1,4.0,500.0,2.0,140000.0,130020.0
10000.0,1,4.0,150.0,7.0,70000.0,52202.95666666667
13110.0,2,5.0,500.0,2.0,109000.0,119471.78333333334
20373.0,1,6.0,220.0,7.0,60000.0,65789.0
12000.0,1,6.0,100.0,6.0,32000.0,30285.0
6000.0,1,3.0,200.0,1.0,110000.0,85552.0
19000.0,1,7.0,150.0,7.0,30000.0,39788.47
24000.0,2,4.0,180.0,1.0,47000.0,56356.8
28000.0,1,7.0,110.0,5.0,25000.0,28330.68
